Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,22-03-2024 14:30,MA Chidambaram Stadium,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings
2,1,23-03-2024 10:00,PCA New Stadium,Punjab Kings,Delhi Capitals,Punjab Kings
3,1,23-03-2024 14:00,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
4,1,24-03-2024 10:00,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals
5,1,24-03-2024 14:00,Narendra Modi Stadium,Gujarat Titans,Mumbai Indians,Gujarat Titans
6,1,25-03-2024 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru
7,1,26-03-2024 14:00,MA Chidambaram Stadium,Chennai Super Kings,Gujarat Titans,Chennai Super Kings
8,1,27-03-2024 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
9,1,28-03-2024 14:00,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals
10,1,29-03-2024 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders
11,2,30-03-2024 14:00,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants
12,2,31-03-2024 10:00,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans
13,2,31-03-2024 14:00,ACA–VDCA Cricket Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals
14,2,01-04-2024 14:00,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
15,2,02-04-2024 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants
16,2,03-04-2024 14:00,ACA–VDCA Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders
17,2,04-04-2024 14:00,Narendra Modi Stadium,Gujarat Titans,Punjab Kings,Punjab Kings
18,2,05-04-2024 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad
19,2,06-04-2024 14:00,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals
20,2,07-04-2024 10:00,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Mumbai Indians
21,2,07-04-2024 14:00,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants
22,3,08-04-2024 14:00,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
23,3,09-04-2024 14:00,PCA New Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
